Year,X...LY,Releases,Average,X.1.Release,Total
2021,+113.4%,437,10271747,Spider-Man: No Way Home,4488753614
2020,-81.4%,456,4612035,Bad Boys for Life,2103088090
2019,-4.8%,910,12440443,Avengers: Endgame,11320803172
2018,+7.4%,993,11972446,Black Panther,11888639106
2017,-2.7%,854,12967076,Star Wars: Episode VIII - The Last Jedi,11073883499
2016,+2.3%,856,13290966,Finding Dory,11377066920
2015,+7.4%,846,13151105,Jurassic World,11125835068
2014,-5.2%,849,12202091,Guardians of the Galaxy,10359575749
2013,+0.9%,826,13222823,Iron Man 3,10922051943
2012,+6.4%,807,13411160,The Avengers,10822806722
2011,-3.7%,730,13936468,Harry Potter and the Deathly Hallows: Part 2,10173621826
2010,-0.2%,651,16231690,Avatar,10566830616
2009,+10%,646,16393499,Transformers: Revenge of the Fallen,10590200693
2008,-0.3%,725,13281560,The Dark Knight,9629131592
2007,+4.9%,775,12460783,Spider-Man 3,9657106911
2006,+4.2%,746,12343982,Pirates of the Caribbean: Dead Man's Chest,9208611128
2005,-5.6%,676,13073540,Star Wars: Episode III - Revenge of the Sith,8837713363
2004,+1.7%,700,13378638,Shrek 2,9365047036
2003,+0.5%,667,13809562,Finding Nemo,9210978005
2002,+13%,570,16079881,Spider-Man,9165532414
2001,+8%,413,19638884,Harry Potter and the Sorcerer's Stone,8110859106
2000,+1.8%,439,17110585,How the Grinch Stole Christmas,7511547085
1999,+9.7%,448,16468676,Star Wars: Episode I - The Phantom Menace,7377967100
1998,+9.2%,334,20136308,Titanic,6725527166
1997,+9%,310,19858914,Men in Black,6156263535
1996,+8.6%,306,18456704,Independence Day,5647751531
1995,+1.9%,291,17867453,Batman Forever,5199428915
1994,+4.9%,259,19695080,The Lion King,5101025737
1993,+6.7%,267,18205628,Jurassic Park,4860902708
1992,+4.3%,247,18445956,Batman Returns,4556151332
1991,<0.1%,253,17260564,Terminator 2: Judgment Day,4366922856
1990,+6.1%,236,18486625,Ghost,4362843546
1989,+15.9%,235,17495337,Batman,4111404298
1988,+4.4%,239,14847348,Who Framed Roger Rabbit,3548516187
1987,+9.5%,226,15039493,Beverly Hills Cop II,3398925607
1986,+2%,201,15436784,Top Gun,3102793651
1985,-2%,191,15923980,Back to the Future,3041480248
1984,+13%,169,18368619,Ghostbusters,3104296629
1983,-8.6%,149,18445857,Star Wars: Episode VI - Return of the Jedi,2748432836
1982,+227.6%,132,22790571,E.T. the Extra-Terrestrial,3008355492
1981,-44.6%,56,16398406,Superman II,918310755
1980,+33.1%,68,24370092,Star Wars: Episode V - The Empire Strikes Back,1657166297
1979,+48.1%,40,31124047,Superman,1244961893
1978,+89.5%,13,64654490,Grease,840508376
1977,+290.6%,9,49277497,Star Wars,443497478
